address,function,length,setpoint,gain,'reset rate',deadband,'cycle time',rate,'system mode','control scheme',pump,solenoid,'pressure measurement','crc rate','command response',time,'specific result'
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418903809,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418827412,12
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418923033,8
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418809065,12
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418929705,2
4,16,90,3.63,113,0.186297,0.61,1.26,0,0,0,1,1,7.27E+35,13622,1,1418846048,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418753646,3
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418880285,2
4,16,90,8.28,114,0.2503,0.32,0,0,0,0,0,1,7.27E+35,16950,1,1418830621,12
4,16,90,12.7,115,0.3509,0.75,0.87,0.65276,1,1,0,1,7.27E+35,16710,1,1418936522,7
4,16,90,13.1,114,0.872261,0.72,0.53,0,0,0,1,1,7.27E+35,13875,1,1418791688,5
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418912355,4
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418688149,11
4,16,90,6.4,113,0.094722,0.51,1.26,0,0,0,0,0,7.27E+35,12340,1,1418878262,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418950708,4
4,16,90,11.5,117,0.000876,0.25,0.87,0,0,1,0,1,7.27E+35,13368,1,1418953661,6
4,16,90,4.25,117,0.2168,0.66,1.86083,0,0,0,0,0,7.27E+35,17475,1,1418955017,11
4,16,90,6.93,117,0.2683,0.62,0.81,0.766945,0,1,0,1,7.27E+35,13367,1,1418824659,7
