address,function,length,setpoint,gain,'reset rate',deadband,'cycle time',rate,'system mode','control scheme',pump,solenoid,'pressure measurement','crc rate','command response',time,'specific result'
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418807027,17
4,16,90,8.56,118,0.3406,0.58,1.26,0,0,1,0,0,7.27E+35,13624,1,1418890060,15
4,16,90,14.3,117,0.3176,0.34,1.26,0,0,1,1,0,7.27E+35,17209,1,1418909669,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418850514,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418854858,17
4,16,90,10.5,114,0.3986,0.34,0.95,0,2,0,1,1,7.27E+35,17716,1,1418801368,15
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418860645,13
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418942385,16
4,16,90,6.94,113,0.347,0.32,0.87,0,0,0,0,0,7.27E+35,16695,1,1418938718,14
4,16,90,11.4,117,0.3478,0.45,0.56,0,0,0,1,0,7.27E+35,13892,1,1418683082,14
4,16,90,6.28,119,0.3963,0.61,1.26,0,1,0,1,0,7.27E+35,14135,1,1418913593,16
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418683089,14
4,16,90,11.4,117,0.3478,0.45,0.56,0,0,0,0,0,7.27E+35,13893,1,1418683096,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418683096,14
4,16,90,11.4,117,0.3478,0.45,0.56,0,0,0,0,0,7.27E+35,13893,1,1418683100,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418683100,14
4,16,90,11.4,117,0.3478,0.45,0.56,0,0,0,0,0,7.27E+35,13893,1,1418683107,14
4,16,90,11.4,117,0.3478,0.39,0.56,0,0,0,0,0,7.27E+35,14647,1,1418683114,14
4,16,90,11.4,117,0.3478,0.39,0.56,0,0,0,0,0,7.27E+35,14647,1,1418683121,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418683129,14
4,16,90,11.4,117,0.2853,0.39,0.56,0,0,0,0,0,7.27E+35,16951,1,1418683132,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418785870,16
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418855487,15
4,16,90,7.45,112,0.2055,0.37,1.26,0,2,1,1,0,7.27E+35,17473,1,1418852757,17
4,16,90,8.56,118,0.3406,0.58,1.26,0,1,1,0,0,7.27E+35,13623,1,1418890054,15
4,16,90,13.5,116,0.3935,0.49,0.87,0,0,0,0,1,7.27E+35,13624,1,1418950209,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418930549,13
4,16,90,17.3,118,0.346,0.24,1.02,0,0,1,0,0,7.27E+35,12342,1,1418786088,14
4,16,90,9.21,117,0.3663,0.71,0.66,0,0,1,0,0,7.27E+35,13638,1,1418782254,14
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418802904,17
4,16,90,14.6,113,0.385,0.41,1.26,0,2,1,1,0,7.27E+35,13363,1,1418841284,17
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418889171,13
4,16,90,15.2,113,0.2785,0.29,1.26,0,2,1,1,0,7.27E+35,13361,1,1418868936,17
4,16,90,4.58,114,0.3455,0.68,0.87,0,0,0,1,1,7.27E+35,16962,1,1418938027,13
4,16,90,6.18,115,0.2112,0.35,1.46,0,1,1,1,1,7.27E+35,17458,1,1418790911,13
4,16,90,7.6,113,0.2695,0.3,1.26,0,2,1,1,0,7.27E+35,12867,1,1418843184,17
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418841304,17
4,16,90,19,111,0.3653,0.26,0.82,0,0,1,1,0,7.27E+35,13364,1,1418793163,14
4,16,90,6.28,119,0.3963,0.61,1.26,0,1,0,1,0,7.27E+35,14135,1,1418913579,16
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418892928,13
