inst#,actual,predicted,error,prediction
1,4:4,4:4,,1
2,7:7,7:7,,1
3,5:5,5:5,,1
4,2:2,2:2,,0.93
5,4:4,4:4,,1
6,3:3,3:3,,1
7,2:2,2:2,,0.92
8,2:2,2:2,,0.89
9,1:1,1:1,,0.88
10,2:2,2:2,,0.93
11,6:6,6:6,,1
12,7:7,7:7,,1
13,4:4,4:4,,1
14,3:3,3:3,,0.99
15,6:6,6:6,,0.91
16,7:7,7:7,,0.96
17,2:2,2:2,,0.78
18,4:4,4:4,,1
19,4:4,4:4,,1
20,1:1,2:2,+,0.54
21,4:4,4:4,,0.94
22,2:2,2:2,,0.82
23,4:4,4:4,,1
24,2:2,2:2,,1
25,7:7,7:7,,1
26,3:3,3:3,,1
27,1:1,1:1,,0.87
28,2:2,2:2,,0.99
29,1:1,1:1,,0.7
30,1:1,1:1,,0.9
31,3:3,3:3,,1
32,2:2,2:2,,0.92
33,4:4,4:4,,1
34,2:2,2:2,,1
35,4:4,4:4,,1
36,2:2,2:2,,0.89
37,4:4,4:4,,1
38,4:4,4:4,,1
39,2:2,2:2,,0.95
40,4:4,4:4,,1
41,4:4,4:4,,0.98
42,7:7,7:7,,1
43,4:4,4:4,,1
44,1:1,1:1,,0.51
45,4:4,4:4,,1
46,2:2,2:2,,1
47,4:4,4:4,,1
48,2:2,1:1,+,0.77
49,5:5,5:5,,1
50,7:7,7:7,,1
51,2:2,2:2,,0.96
52,1:1,1:1,,0.85
53,6:6,6:6,,0.98
54,5:5,5:5,,1
55,3:3,3:3,,0.98
56,2:2,1:1,+,0.71
57,5:5,5:5,,1
58,2:2,2:2,,0.83
59,1:1,1:1,,0.97
60,4:4,4:4,,1
61,4:4,4:4,,1
62,1:1,1:1,,0.8
63,2:2,2:2,,1
64,1:1,2:2,+,0.6
65,4:4,4:4,,1
66,2:2,2:2,,0.68
67,5:5,5:5,,1
68,2:2,2:2,,1
69,1:1,1:1,,0.87
70,2:2,2:2,,0.98
71,4:4,4:4,,0.98
72,3:3,3:3,,1
73,4:4,4:4,,1
74,2:2,2:2,,0.95
75,1:1,1:1,,0.99
76,4:4,4:4,,1
77,4:4,4:4,,1
78,7:7,7:7,,1
79,1:1,1:1,,0.94
80,5:5,5:5,,1
81,4:4,4:4,,1
82,4:4,4:4,,1
83,4:4,4:4,,1
84,3:3,3:3,,1
85,4:4,4:4,,0.96
86,7:7,7:7,,1
87,3:3,3:3,,0.99
88,7:7,7:7,,1
89,2:2,2:2,,1
90,5:5,5:5,,1
91,7:7,7:7,,1
92,1:1,1:1,,0.93
93,5:5,5:5,,1
94,3:3,3:3,,0.98
95,3:3,3:3,,1
96,5:5,5:5,,1
97,7:7,7:7,,1
98,4:4,4:4,,1
99,1:1,1:1,,0.68
100,3:3,3:3,,1
101,2:2,2:2,,0.98
102,1:1,1:1,,0.75
103,7:7,7:7,,1
104,3:3,3:3,,0.98
105,4:4,4:4,,0.93
106,3:3,3:3,,1
107,2:2,2:2,,0.92
108,3:3,3:3,,1
109,2:2,2:2,,1
110,3:3,3:3,,1
111,4:4,4:4,,0.96
112,4:4,4:4,,0.99
113,3:3,3:3,,0.99
114,1:1,1:1,,0.64
115,1:1,2:2,+,0.53
116,3:3,3:3,,1
117,3:3,3:3,,1
118,1:1,1:1,,0.88
119,3:3,3:3,,1
120,7:7,7:7,,1
121,2:2,2:2,,0.81
122,4:4,4:4,,1
123,3:3,3:3,,1
124,4:4,4:4,,1
125,2:2,2:2,,1
126,2:2,2:2,,0.92
127,4:4,4:4,,1
128,2:2,2:2,,0.99
129,3:3,3:3,,1
130,6:6,6:6,,1
131,7:7,7:7,,1
132,4:4,4:4,,1
133,1:1,1:1,,0.87
134,5:5,5:5,,1
135,1:1,1:1,,0.56
136,4:4,4:4,,1
137,4:4,4:4,,1
138,1:1,1:1,,0.7
139,4:4,4:4,,1
140,4:4,4:4,,1
141,2:2,2:2,,0.68
142,2:2,2:2,,0.97
143,5:5,5:5,,1
144,2:2,2:2,,0.74
145,7:7,7:7,,1
146,2:2,2:2,,0.88
147,4:4,4:4,,1
148,3:3,3:3,,1
149,4:4,4:4,,1
150,1:1,2:2,+,0.54
151,6:6,6:6,,1
152,4:4,4:4,,0.99
153,4:4,4:4,,1
154,6:6,6:6,,1
155,3:3,3:3,,1
156,7:7,7:7,,1
157,6:6,6:6,,1
158,7:7,7:7,,1
159,4:4,4:4,,0.99
160,3:3,3:3,,1
161,2:2,1:1,+,0.76
162,4:4,4:4,,1
163,3:3,3:3,,1
164,1:1,1:1,,0.74
165,4:4,4:4,,0.86
166,2:2,2:2,,0.89
167,1:1,1:1,,0.61
168,4:4,4:4,,1
169,4:4,4:4,,0.98
170,4:4,4:4,,1
171,2:2,1:1,+,0.55
172,4:4,4:4,,1
173,4:4,4:4,,1
174,4:4,4:4,,1
175,1:1,1:1,,0.66
176,4:4,4:4,,1
177,4:4,4:4,,1
178,5:5,5:5,,1
179,3:3,3:3,,1
180,4:4,4:4,,1
181,2:2,2:2,,0.61
182,2:2,2:2,,0.79
183,4:4,4:4,,1
184,3:3,3:3,,0.97
185,3:3,3:3,,1
186,5:5,5:5,,1
187,1:1,1:1,,0.95
188,4:4,4:4,,1
189,4:4,4:4,,0.99
190,1:1,1:1,,0.91
191,3:3,3:3,,1
192,1:1,2:2,+,0.57
