address,function,length,setpoint,gain,'reset rate',deadband,'cycle time',rate,'system mode','control scheme',pump,solenoid,'pressure measurement','crc rate','command response',time,'categorized result','specific result'
4,16,90,10.5,112,0.2055,0.37,1.26,0,0,0,1,0,7.2723E+35,22750,1,1418852242,6,18
4,16,90,3.98,113,0.3385,0.65,0.87,0,0,0,1,1,7.2723E+35,7829,1,1418932765,6,18
4,16,90,15.7,111,0.2671,0.63,0.79,0,0,0,0,0,7.2723E+35,3526,1,1418799836,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418874422,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418799840,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418855657,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418940943,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418955297,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418932746,6,18
4,16,90,15.8,111,0.2134,0.48,0.9,0,0,0,1,0,7.2723E+35,6837,1,1418690892,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418881790,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418852235,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418932729,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418765877,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418874445,6,18
4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,7.2723E+35,47923,1,1418690819,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418899246,6,18
4,16,90,12,110,0.2953,0.72,1.47,0,0,0,1,1,7.2723E+35,41771,1,1418765000,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418737171,6,18
4,16,90,12,110,0.2953,0.72,1.47,0,0,0,1,1,7.2723E+35,41954,1,1418764982,6,18
4,16,90,2.02,114,0.2016,0.64,1.26,0,2,1,0,0,7.2723E+35,46821,1,1418906486,6,18
4,16,90,18.2,116,0.2678,0.36,0.87,0,0,1,0,0,7.2723E+35,15531,1,1418956078,6,18
4,16,90,13.8,119,0.2477,0.4,0.86,0,0,0,0,0,7.2723E+35,7515,1,1418749308,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418703385,6,18
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.2723E+35,17718,0,1418722750,6,18
4,16,90,12.5,117,0.2162,0.33,1.26,0,1,1,0,1,7.2723E+35,35281,1,1418874402,6,18
