inst#,actual,predicted,error,prediction
1,1:1,1:1,,0.94
2,2:2,2:2,,0.99
3,5:5,5:5,,1
4,4:4,4:4,,0.96
5,1:1,1:1,,0.88
6,1:1,1:1,,0.89
7,3:3,3:3,,1
8,4:4,4:4,,1
9,4:4,4:4,,1
10,4:4,4:4,,1
11,4:4,4:4,,1
12,2:2,2:2,,0.99
13,1:1,1:1,,0.94
14,6:6,6:6,,1
15,4:4,4:4,,0.95
16,1:1,1:1,,0.9
17,7:7,7:7,,1
18,4:4,4:4,,1
19,5:5,5:5,,1
20,7:7,7:7,,1
21,4:4,4:4,,1
22,1:1,1:1,,0.55
23,4:4,4:4,,0.99
24,2:2,2:2,,0.99
25,4:4,4:4,,1
26,4:4,4:4,,1
27,4:4,4:4,,1
28,3:3,3:3,,0.99
29,7:7,7:7,,1
30,5:5,5:5,,1
31,3:3,3:3,,0.53
32,2:2,2:2,,0.98
33,4:4,4:4,,1
34,6:6,6:6,,1
35,4:4,4:4,,0.98
36,4:4,4:4,,1
37,2:2,2:2,,0.82
38,5:5,5:5,,1
39,5:5,5:5,,1
40,3:3,3:3,,1
41,1:1,2:2,+,0.68
42,3:3,3:3,,1
43,7:7,7:7,,1
44,4:4,4:4,,1
45,2:2,2:2,,0.93
46,3:3,3:3,,1
47,4:4,4:4,,1
48,4:4,4:4,,0.91
49,4:4,4:4,,1
50,1:1,1:1,,0.87
51,3:3,3:3,,0.9
52,2:2,1:1,+,0.51
53,7:7,7:7,,1
54,4:4,4:4,,1
55,1:1,1:1,,0.9
56,3:3,3:3,,1
57,4:4,4:4,,1
58,4:4,4:4,,1
59,2:2,2:2,,0.58
60,7:7,7:7,,1
61,2:2,2:2,,0.81
62,5:5,5:5,,1
63,1:1,1:1,,0.63
64,4:4,4:4,,1
65,5:5,5:5,,1
66,6:6,6:6,,1
67,1:1,1:1,,0.95
68,4:4,4:4,,1
69,7:7,7:7,,1
70,2:2,2:2,,0.66
71,4:4,4:4,,1
72,4:4,4:4,,0.99
73,2:2,2:2,,0.97
74,2:2,1:1,+,0.76
75,4:4,4:4,,1
76,2:2,2:2,,0.93
77,4:4,4:4,,1
78,5:5,5:5,,1
79,5:5,5:5,,1
80,1:1,1:1,,0.6
81,6:6,6:6,,1
82,5:5,5:5,,1
83,1:1,1:1,,0.86
84,2:2,2:2,,1
85,4:4,4:4,,1
86,3:3,3:3,,1
87,6:6,6:6,,1
88,6:6,6:6,,1
89,3:3,3:3,,1
90,1:1,1:1,,0.6
91,4:4,4:4,,1
92,2:2,2:2,,0.99
93,4:4,4:4,,1
94,6:6,6:6,,1
95,3:3,3:3,,1
96,4:4,4:4,,1
97,3:3,3:3,,1
98,4:4,4:4,,1
99,6:6,6:6,,1
100,7:7,7:7,,1
101,2:2,2:2,,0.96
102,4:4,4:4,,1
103,1:1,1:1,,0.94
104,4:4,4:4,,1
105,2:2,2:2,,0.57
106,4:4,4:4,,1
107,7:7,7:7,,1
108,1:1,1:1,,0.96
109,1:1,1:1,,0.82
110,2:2,2:2,,0.99
111,3:3,3:3,,0.96
112,4:4,4:4,,1
113,7:7,7:7,,1
114,4:4,4:4,,1
115,2:2,2:2,,0.52
116,4:4,4:4,,1
117,2:2,2:2,,0.96
118,1:1,1:1,,0.9
119,2:2,2:2,,1
120,4:4,4:4,,1
121,4:4,4:4,,1
122,2:2,2:2,,0.97
123,1:1,1:1,,0.97
124,4:4,4:4,,1
125,7:7,7:7,,1
126,5:5,5:5,,1
127,4:4,4:4,,1
128,4:4,4:4,,1
129,4:4,4:4,,1
130,5:5,5:5,,1
131,2:2,2:2,,0.86
132,4:4,4:4,,1
133,2:2,2:2,,0.94
134,2:2,1:1,+,0.73
135,4:4,4:4,,1
136,3:3,3:3,,1
137,4:4,4:4,,1
138,3:3,3:3,,1
139,5:5,5:5,,1
140,2:2,2:2,,0.97
141,4:4,4:4,,1
142,5:5,5:5,,1
143,6:6,6:6,,1
144,3:3,3:3,,1
145,6:6,6:6,,1
146,4:4,4:4,,1
147,3:3,3:3,,1
148,2:2,1:1,+,0.65
149,1:1,1:1,,0.93
150,4:4,4:4,,1
151,3:3,3:3,,0.95
