address,function,length,setpoint,gain,'reset rate',deadband,'cycle time',rate,'system mode','control scheme',pump,solenoid,'pressure measurement','crc rate','command response',time,'categorized result','specific result'
4,3,46,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,0,12343,0,1418807805,1,29
4,3,46,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,0.105469,13123,0,1418813382,2,25
4,8,12,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17971,1,1418757768,5,22
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418908473,4,3
4,3,46,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,5.33226,17968,0,1418760129,1,30
4,3,46,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,0,14645,0,1418899238,1,32
4,16,90,14.9,118,0.2199,0.69,0.9,0,2,0,1,0,7.27E+35,13105,1,1418695923,3,17
4,16,90,27,112,0.3379,0.38,1.26,0,0,0,0,0,7.27E+35,13618,1,1418918150,4,2
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418772461,4,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418733973,4,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418928806,4,2
4,3,46,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,2.23E+38,16693,0,1418836345,2,25
4,3,46,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,0,12865,0,1418950986,1,31
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418802033,6,18
4,16,90,3.76,117,0.197842,0.37,1.26,0,2,1,0,1,7.27E+35,17986,1,1418853796,4,6
4,3,46,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,0,13361,0,1418688910,1,31
