address,function,length,setpoint,gain,'reset rate',deadband,'cycle time',rate,'system mode','control scheme',pump,solenoid,'pressure measurement','crc rate','command response',time,'specific result'
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418908473,3
4,16,90,27,112,0.3379,0.38,1.26,0,0,0,0,0,7.27E+35,13618,1,1418918150,2
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418772461,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418733973,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418928806,2
4,16,90,3.76,117,0.197842,0.37,1.26,0,2,1,0,1,7.27E+35,17986,1,1418853796,6
4,16,90,12.7,115,0.3453,0.75,0.87,0.65276,1,1,0,1,7.27E+35,14641,1,1418936566,7
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418955054,11
4,16,90,18.7,119,0.3616,0.56,0,0,2,1,0,0,7.27E+35,16710,1,1418863876,12
4,16,90,38,118,0.3542,0.3,1.11,0,0,0,0,0,7.27E+35,14403,1,1418784752,1
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418942036,11
4,16,90,5.2,110,0.3942,0.4,0,0,0,1,0,0,7.27E+35,14405,1,1418751858,12
4,16,90,14.3,117,0.2954,0.41,1.26,0.625355,0,0,1,0,7.27E+35,13366,1,1418910196,7
4,16,90,19.1,116,0.2374,0.183497,0.87,0,1,1,0,0,7.27E+35,14388,1,1418948321,10
